Ticker,Date,Revenue,EBITDA,NetIncome,TotalAssets,CommonEquity,EPS,ROA,ROE,LogAssets
MS,2023-06-29,5032.0,3203.0,10.23,1164911.0,77387.0,1.24,8.781786763108941e-06,0.00013219274555157842,13.968155247213918
MS,2023-09-29,5274.0,3212.0,10.14,1169013.0,76255.0,1.38,8.673983950563425e-06,0.00013297488689266278,13.971670361008282
MS,2023-12-30,5286.0,2731.0,9.39,1193693.0,76220.0,0.85,7.866344194026437e-06,0.00012319601154552612,13.992562420945973
MS,2024-03-30,5575.0,4355.0,9.82,1228503.0,76504.0,2.02,7.993468473418462e-06,0.00012835930147443272,14.021306912942832
MS,2024-06-29,5612.0,4040.0,10.73,1212447.0,78124.0,1.83,8.849871375820964e-06,0.00013734575802570273,14.0081511894982
MS,2024-09-29,5997.0,4160.0,11.52,1258027.0,81316.0,1.88,9.157196149208244e-06,0.00014166953613065078,14.045055178651314
MS,2024-12-30,6269.0,4946.0,13.83,1215071.0,82269.0,2.22,1.1382050925419172e-05,0.00016810706341392263,14.010313069263448
MS,2025-03-30,6222.0,5482.0,14.6,1300296.0,84828.0,2.6,1.1228212653118982e-05,0.00017211298156269157,14.078102488821498
MS,2025-06-29,6190.0,4563.0,14.85,1353870.0,86351.0,2.13,1.0968556803829024e-05,0.00017197253071765236,14.118477716028089
MS,2025-09-29,6773.0,5960.0,16.04,1364806.0,88229.0,2.8,1.175258608183141e-05,0.00018179963504063288,14.126522851958423
MS,2025-12-30,7217.0,5840.0,16.53,1420270.0,89916.0,2.68,1.1638632091081275e-05,0.00018383824903243028,14.166357552348034
NVDA,2022-01-29,7643.0,3616.0,44.83,44187.0,41.13,0.12,0.0010145517912508203,1.0899586676391928,10.696185907157652
NVDA,2022-04-30,8288.0,3377.0,41.95,45212.0,41.59,0.06,0.0009278510130053968,1.0086559269055062,10.719117817310622
NVDA,2022-07-30,6704.0,674.0,34.41,43476.0,45.91,0.03,0.0007914711565001379,0.7495099106948377,10.679964340683078
NVDA,2022-10-29,5931.0,791.0,26.39,40488.0,51.29,0.03,0.0006517980636237898,0.5145252485864691,10.608760912893914
NVDA,2023-01-28,6051.0,1485.0,17.93,41182.0,49.56,0.06,0.00043538439123889076,0.36178369652945924,10.625756546668091
NVDA,2023-04-29,7192.0,2321.0,18.86,44460.0,44.67,0.08,0.00042420152946468734,0.42220729796283857,10.702345187518187
NVDA,2023-07-29,13507.0,6939.0,40.22,49555.0,35.29,0.25,0.000811623448693371,1.1396996316236894,10.810838442840808
NVDA,2023-10-28,18120.0,10578.0,69.17,54148.0,29.18,0.37,0.0012774248356356651,2.3704592186429063,10.899476317305677
NVDA,2024-01-27,22103.0,13755.0,91.46,65728.0,22.59,0.49,0.0013914922103213242,4.048694112439132,11.09328029328823
NVDA,2024-04-27,26044.0,17049.0,115.66,77072.0,19.76,0.6,0.001500674693792817,5.853238866396761,11.252495328870001
NVDA,2024-07-27,30040.0,18786.0,123.77,85227.0,14.55,0.67,0.0014522393138324708,8.506529209621993,11.353073564023212
NVDA,2024-10-26,35082.0,22024.0,127.21,96013.0,12.84,0.78,0.001324924749773468,9.907320872274143,11.47223887794863
NVDA,2025-01-25,39331.0,24195.0,119.18,111601.0,10.67,0.89,0.001067911577853245,11.169634489222119,11.622685289462678
NVDA,2025-04-26,44062.0,21798.0,115.46,125254.0,10.1,0.76,0.0009218068884027656,11.431683168316832,11.738098954564908
NVDA,2025-07-26,46743.0,28541.0,109.42,140740.0,8.45,1.08,0.000777461986642035,12.949112426035505,11.85466949552054
NVDA,2025-10-25,57006.0,36097.0,107.36,161148.0,7.12,1.3,0.0006662198724154193,15.078651685393258,11.990078476369176
NVDA,2026-01-24,68127.0,44475.0,101.49,206803.0,5.38,1.76,0.0004907569039133862,18.864312267657994,12.239521928281015
RVIN,2021-12-30,54.0,-2454.0,,22294.0,6.28,-12.06,,,10.01207286294957
RVIN,2022-03-30,95.0,-1391.0,,21297.0,6.72,-1.77,,,9.966321496707495
RVIN,2022-06-29,364.0,-1595.0,-96.58,20171.0,7.28,-1.89,-0.004788062069307422,-13.266483516483516,9.912001208301334
RVIN,2022-09-29,536.0,-1379.0,-127.71,19023.0,8.01,-1.88,-0.006713452136886926,-15.9438202247191,9.853404052368141
RVIN,2022-12-30,663.0,-1909.0,-40.54,17876.0,8.92,-1.86,-0.0022678451555157753,-4.544843049327354,9.791214310053341
RVIN,2023-03-30,661.0,-1204.0,-41.98,18191.0,21.32,-1.45,-0.0023077345940300145,-1.9690431519699811,9.808682245262217
RVIN,2023-06-29,1121.0,-1294.0,-41.92,17227.0,23.2,-1.27,-0.00243338944679863,-1.806896551724138,9.75423319944637
